id_reparto,distribuidor_id,fecha,dia_semana,centro_destino,zona_origen,hora_salida,hora_salida_min,distancia_km,numero_entregas,peso_total_kg,trafico,clima,duracion_estimada_min,hora_llegada_estimada,hora_llegada_estimada_min,retraso_min,duracion_real_min,hora_llegada_real,hora_llegada_real_min,puntual
R1001,D2,2026-01-05,lunes,ISOIN_Sevilla,Dos Hermanas,07:15,435,5.8,15,196.6,bajo,lluvia,53,08:08,488,26,79,08:34,514,no
R1002,D2,2026-01-05,lunes,ISOIN_Sevilla,Camas,09:50,590,19.0,12,77.4,medio,soleado,89,11:19,679,13,102,11:32,692,no
R1003,D2,2026-01-05,lunes,ISOIN_Sevilla,Dos Hermanas,12:45,765,21.9,4,106.5,bajo,soleado,78,14:03,843,12,90,14:15,855,no
R1004,D2,2026-01-06,martes,ISOIN_Sevilla,Los Remedios,07:15,435,20.7,10,85.6,medio,lluvia,90,08:45,525,33,123,09:18,558,no
R1005,D2,2026-01-06,martes,ISOIN_Sevilla,Camas,09:15,555,18.0,14,194.9,alto,soleado,97,10:52,652,22,119,11:14,674,no
R1006,D2,2026-01-06,martes,ISOIN_Sevilla,Triana,09:40,580,13.4,11,75.5,alto,soleado,87,11:07,667,30,117,11:37,697,no
R1007,D2,2026-01-07,miercoles,ISOIN_Sevilla,Montequinto,07:15,435,23.0,13,62.4,medio,soleado,98,08:53,533,25,123,09:18,558,no
R1008,D2,2026-01-07,miercoles,ISOIN_Sevilla,Montequinto,15:00,900,20.3,11,81.0,medio,soleado,89,16:29,989,12,101,16:41,1001,no
R1009,D2,2026-01-07,miercoles,ISOIN_Sevilla,Los Remedios,13:30,810,6.9,7,189.4,bajo,nublado,50,14:20,860,6,56,14:26,866,no
R1010,D2,2026-01-08,jueves,ISOIN_Sevilla,Montequinto,13:40,820,20.5,12,54.7,alto,soleado,107,15:27,927,35,142,16:02,962,no
R1011,D2,2026-01-08,jueves,ISOIN_Sevilla,Montequinto,13:00,780,14.0,13,173.2,alto,soleado,89,14:29,869,38,127,15:07,907,no
R1012,D2,2026-01-08,jueves,ISOIN_Sevilla,Triana,13:00,780,7.5,9,158.8,medio,nublado,59,13:59,839,12,71,14:11,851,no
R1013,D2,2026-01-09,viernes,ISOIN_Sevilla,Camas,12:10,730,10.6,10,73.8,bajo,soleado,55,13:05,785,4,59,13:09,789,si
R1014,D2,2026-01-09,viernes,ISOIN_Sevilla,Montequinto,10:20,620,22.8,5,236.2,alto,nublado,94,11:54,714,39,133,12:33,753,no
R1015,D2,2026-01-09,viernes,ISOIN_Sevilla,Dos Hermanas,07:10,430,22.5,11,152.4,bajo,soleado,83,08:33,513,5,88,08:38,518,si
R1016,D2,2026-01-10,sabado,ISOIN_Sevilla,Montequinto,15:50,950,9.9,3,244.1,bajo,lluvia,46,16:36,996,19,65,16:55,1015,no
R1017,D2,2026-01-10,sabado,ISOIN_Sevilla,Triana,12:20,740,11.4,7,62.3,medio,nublado,63,13:23,803,9,72,13:32,812,no
R1018,D2,2026-01-10,sabado,ISOIN_Sevilla,Dos Hermanas,09:40,580,15.1,8,222.4,medio,soleado,77,10:57,657,1,78,10:58,658,si
R1019,D2,2026-01-12,lunes,ISOIN_Sevilla,Camas,15:50,950,14.4,5,187.5,medio,soleado,71,17:01,1021,10,81,17:11,1031,no
R1020,D2,2026-01-12,lunes,ISOIN_Sevilla,Montequinto,13:30,810,15.8,11,239.6,medio,nublado,80,14:50,890,11,91,15:01,901,no
R1021,D2,2026-01-12,lunes,ISOIN_Sevilla,Dos Hermanas,12:30,750,19.6,14,249.9,medio,soleado,94,14:04,844,33,127,14:37,877,no
R1022,D2,2026-01-12,lunes,ISOIN_Sevilla,Los Remedios,12:45,765,7.3,13,101.9,medio,nublado,64,13:49,829,14,78,14:03,843,no
R1023,D2,2026-01-12,lunes,ISOIN_Sevilla,Dos Hermanas,13:20,800,12.3,15,188.7,medio,nublado,76,14:36,876,18,94,14:54,894,no
R1024,D2,2026-01-12,lunes,ISOIN_Sevilla,Montequinto,10:40,640,22.7,10,259.3,bajo,soleado,85,12:05,725,14,99,12:19,739,no
R1025,D2,2026-01-13,martes,ISOIN_Sevilla,Camas,12:30,750,8.8,7,226.2,medio,nublado,60,13:30,810,21,81,13:51,831,no
R1026,D2,2026-01-13,martes,ISOIN_Sevilla,Camas,07:45,465,21.5,9,237.3,alto,nublado,99,09:24,564,31,130,09:55,595,no
R1027,D2,2026-01-13,martes,ISOIN_Sevilla,Camas,13:50,830,8.6,11,108.7,medio,soleado,61,14:51,891,12,73,15:03,903,no
R1028,D2,2026-01-14,miercoles,ISOIN_Sevilla,Triana,13:20,800,16.6,3,68.5,medio,soleado,65,14:25,865,5,70,14:30,870,si
R1029,D2,2026-01-14,miercoles,ISOIN_Sevilla,Dos Hermanas,10:20,620,18.9,7,120.5,medio,lluvia,77,11:37,697,31,108,12:08,728,no
R1030,D2,2026-01-14,miercoles,ISOIN_Sevilla,Los Remedios,10:15,615,22.2,3,279.3,bajo,soleado,72,11:27,687,1,73,11:28,688,si
R1031,D2,2026-01-15,jueves,ISOIN_Sevilla,Camas,09:50,590,23.3,11,168.2,alto,soleado,111,11:41,701,23,134,12:04,724,no
R1032,D2,2026-01-15,jueves,ISOIN_Sevilla,Camas,08:50,530,16.8,14,88.8,alto,nublado,103,10:33,633,34,137,11:07,667,no
R1033,D2,2026-01-15,jueves,ISOIN_Sevilla,Dos Hermanas,12:40,760,6.1,13,67.4,alto,soleado,71,13:51,831,21,92,14:12,852,no
R1034,D2,2026-01-16,viernes,ISOIN_Sevilla,Dos Hermanas,15:30,930,22.6,7,181.9,medio,soleado,89,16:59,1019,8,97,17:07,1027,no
R1035,D2,2026-01-16,viernes,ISOIN_Sevilla,Dos Hermanas,09:15,555,12.2,11,261.9,alto,nublado,79,10:34,634,34,113,11:08,668,no
R1036,D2,2026-01-16,viernes,ISOIN_Sevilla,Los Remedios,08:50,530,7.4,14,277.4,medio,nublado,70,10:00,600,26,96,10:26,626,no
R1037,D2,2026-01-17,sabado,ISOIN_Sevilla,Montequinto,10:40,640,6.0,12,71.4,medio,lluvia,59,11:39,699,29,88,12:08,728,no
